job_role,education,Technical skills,Soft skills,Tools & frameworks,Years of experience,resume_paragraph,combined_text,clean_text
Data Scientist,BSc in Computer Science,"data visualization, aws, project management, linux, statistics, git","communication, teamwork, adaptability","java, team collaboration",4,"BSc in Computer Science graduate with 1 years of experience.
        Skilled in data visualization, aws, project management, linux, statistics, git.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.","BSc in Computer Science data visualization, aws, project management, linux, statistics, git communication, teamwork, adaptability java, team collaboration 4 BSc in Computer Science graduate with 1 years of experience.
        Skilled in data visualization, aws, project management, linux, statistics, git.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.",bsc computer science data visualization aws project management linux statistics git communication teamwork adaptability java team collaboration 4 bsc computer science graduate 1 years experience skilled data visualization aws project management linux statistics git contributed open source community initiatives passionate learning emerging technologies improving system efficiency
Data Scientist,Bachelor of Engineering,"git, data visualization, java, sql, aws, statistics","communication, teamwork, adaptability","java, system design",12,"Bachelor of Engineering graduate with 2 years of experience.
        Skilled in git, data visualization, java, sql, aws, statistics.
        Completed internships in retail and IT support environments.
        Passionate about learning emerging technologies and improving system efficiency.","Bachelor of Engineering git, data visualization, java, sql, aws, statistics communication, teamwork, adaptability java, system design 12 Bachelor of Engineering graduate with 2 years of experience.
        Skilled in git, data visualization, java, sql, aws, statistics.
        Completed internships in retail and IT support environments.
        Passionate about learning emerging technologies and improving system efficiency.",bachelor engineering git data visualization java sql aws statistics communication teamwork adaptability java system design 12 bachelor engineering graduate 2 years experience skilled git data visualization java sql aws statistics completed internships retail support environments passionate learning emerging technologies improving system efficiency
Data Scientist,BSc in Computer Science,"agile methodology, data visualization, git, system design, linux, numpy","communication, teamwork, adaptability","python, aws",3,"BSc in Computer Science graduate with 7 years of experience.
        Skilled in agile methodology, data visualization, git, system design, linux, numpy.
        Participated in cross-functional team projects.
        Passionate about learning emerging technologies and improving system efficiency.","BSc in Computer Science agile methodology, data visualization, git, system design, linux, numpy communication, teamwork, adaptability python, aws 3 BSc in Computer Science graduate with 7 years of experience.
        Skilled in agile methodology, data visualization, git, system design, linux, numpy.
        Participated in cross-functional team projects.
        Passionate about learning emerging technologies and improving system efficiency.",bsc computer science agile methodology data visualization git system design linux numpy communication teamwork adaptability python aws 3 bsc computer science graduate 7 years experience skilled agile methodology data visualization git system design linux numpy participated crossfunctional team projects passionate learning emerging technologies improving system efficiency
Data Scientist,MSc in Information Technology,"problem solving, team collaboration, data analysis, numpy, docker, statistics","communication, teamwork, adaptability","docker, sql",1,"Bachelor of Engineering graduate with 10 years of experience.
        Skilled in problem solving, team collaboration, data analysis, numpy, docker, statistics.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.","MSc in Information Technology problem solving, team collaboration, data analysis, numpy, docker, statistics communication, teamwork, adaptability docker, sql 1 Bachelor of Engineering graduate with 10 years of experience.
        Skilled in problem solving, team collaboration, data analysis, numpy, docker, statistics.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.",msc information technology problem solving team collaboration data analysis numpy docker statistics communication teamwork adaptability docker sql 1 bachelor engineering graduate 10 years experience skilled problem solving team collaboration data analysis numpy docker statistics experience client communication requirement gathering passionate learning emerging technologies improving system efficiency
Data Scientist,MSc in Information Technology,"aws, data visualization, python, system design, statistics, git","communication, teamwork, adaptability","docker, python",3,"MSc in Information Technology graduate with 4 years of experience.
        Skilled in aws, data visualization, python, system design, statistics, git.
        Completed internships in retail and IT support environments.
        Passionate about learning emerging technologies and improving system efficiency.","MSc in Information Technology aws, data visualization, python, system design, statistics, git communication, teamwork, adaptability docker, python 3 MSc in Information Technology graduate with 4 years of experience.
        Skilled in aws, data visualization, python, system design, statistics, git.
        Completed internships in retail and IT support environments.
        Passionate about learning emerging technologies and improving system efficiency.",msc information technology aws data visualization python system design statistics git communication teamwork adaptability docker python 3 msc information technology graduate 4 years experience skilled aws data visualization python system design statistics git completed internships retail support environments passionate learning emerging technologies improving system efficiency
Data Scientist,MSc in Information Technology,"system design, git, linux, machine learning, project management, statistics, react","communication, teamwork, adaptability","python, project management",4,"Bachelor of Engineering graduate with 5 years of experience.
        Skilled in system design, git, linux, machine learning, project management, statistics, react.
        Completed internships in retail and IT support environments.
        Passionate about learning emerging technologies and improving system efficiency.","MSc in Information Technology system design, git, linux, machine learning, project management, statistics, react communication, teamwork, adaptability python, project management 4 Bachelor of Engineering graduate with 5 years of experience.
        Skilled in system design, git, linux, machine learning, project management, statistics, react.
        Completed internships in retail and IT support environments.
        Passionate about learning emerging technologies and improving system efficiency.",msc information technology system design git linux machine learning project management statistics react communication teamwork adaptability python project management 4 bachelor engineering graduate 5 years experience skilled system design git linux machine learning project management statistics react completed internships retail support environments passionate learning emerging technologies improving system efficiency
Data Scientist,Bachelor of Engineering,"statistics, aws, machine learning, linux, system design, java","communication, teamwork, adaptability","python, java",10,"Bachelor of Engineering graduate with 3 years of experience.
        Skilled in statistics, aws, machine learning, linux, system design, java.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.","Bachelor of Engineering statistics, aws, machine learning, linux, system design, java communication, teamwork, adaptability python, java 10 Bachelor of Engineering graduate with 3 years of experience.
        Skilled in statistics, aws, machine learning, linux, system design, java.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.",bachelor engineering statistics aws machine learning linux system design java communication teamwork adaptability python java 10 bachelor engineering graduate 3 years experience skilled statistics aws machine learning linux system design java experience client communication requirement gathering passionate learning emerging technologies improving system efficiency
Data Scientist,MSc in Information Technology,"data analysis, agile methodology, docker, statistics, aws, machine learning","communication, teamwork, adaptability","aws, docker",2,"Diploma in Software Development graduate with 1 years of experience.
        Skilled in data analysis, agile methodology, docker, statistics, aws, machine learning.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.","MSc in Information Technology data analysis, agile methodology, docker, statistics, aws, machine learning communication, teamwork, adaptability aws, docker 2 Diploma in Software Development graduate with 1 years of experience.
        Skilled in data analysis, agile methodology, docker, statistics, aws, machine learning.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.",msc information technology data analysis agile methodology docker statistics aws machine learning communication teamwork adaptability aws docker 2 diploma software development graduate 1 years experience skilled data analysis agile methodology docker statistics aws machine learning experience client communication requirement gathering passionate learning emerging technologies improving system efficiency
Data Scientist,Diploma in Software Development,"statistics, data visualization, linux, team collaboration, project management, java","communication, teamwork, adaptability","project management, data analysis",3,"MSc in Information Technology graduate with 4 years of experience.
        Skilled in statistics, data visualization, linux, team collaboration, project management, java.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.","Diploma in Software Development statistics, data visualization, linux, team collaboration, project management, java communication, teamwork, adaptability project management, data analysis 3 MSc in Information Technology graduate with 4 years of experience.
        Skilled in statistics, data visualization, linux, team collaboration, project management, java.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.",diploma software development statistics data visualization linux team collaboration project management java communication teamwork adaptability project management data analysis 3 msc information technology graduate 4 years experience skilled statistics data visualization linux team collaboration project management java contributed open source community initiatives passionate learning emerging technologies improving system efficiency
Data Scientist,Diploma in Software Development,"data visualization, linux, statistics, docker, python, team collaboration","communication, teamwork, adaptability","system design, data analysis",3,"Diploma in Software Development graduate with 4 years of experience.
        Skilled in data visualization, linux, statistics, docker, python, team collaboration.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.","Diploma in Software Development data visualization, linux, statistics, docker, python, team collaboration communication, teamwork, adaptability system design, data analysis 3 Diploma in Software Development graduate with 4 years of experience.
        Skilled in data visualization, linux, statistics, docker, python, team collaboration.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.",diploma software development data visualization linux statistics docker python team collaboration communication teamwork adaptability system design data analysis 3 diploma software development graduate 4 years experience skilled data visualization linux statistics docker python team collaboration experience client communication requirement gathering passionate learning emerging technologies improving system efficiency
Data Scientist,Diploma in Software Development,"project management, data analysis, pandas, agile methodology, team collaboration, statistics","communication, teamwork, adaptability","agile methodology, java",8,"BSc in Computer Science graduate with 1 years of experience.
        Skilled in project management, data analysis, pandas, agile methodology, team collaboration, statistics.
        Completed internships in retail and IT support environments.
        Passionate about learning emerging technologies and improving system efficiency.","Diploma in Software Development project management, data analysis, pandas, agile methodology, team collaboration, statistics communication, teamwork, adaptability agile methodology, java 8 BSc in Computer Science graduate with 1 years of experience.
        Skilled in project management, data analysis, pandas, agile methodology, team collaboration, statistics.
        Completed internships in retail and IT support environments.
        Passionate about learning emerging technologies and improving system efficiency.",diploma software development project management data analysis pandas agile methodology team collaboration statistics communication teamwork adaptability agile methodology java 8 bsc computer science graduate 1 years experience skilled project management data analysis pandas agile methodology team collaboration statistics completed internships retail support environments passionate learning emerging technologies improving system efficiency
Data Scientist,BSc in Computer Science,"data analysis, system design, problem solving, docker, machine learning, numpy","communication, teamwork, adaptability","team collaboration, git",2,"MSc in Information Technology graduate with 9 years of experience.
        Skilled in data analysis, system design, problem solving, docker, machine learning, numpy.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.","BSc in Computer Science data analysis, system design, problem solving, docker, machine learning, numpy communication, teamwork, adaptability team collaboration, git 2 MSc in Information Technology graduate with 9 years of experience.
        Skilled in data analysis, system design, problem solving, docker, machine learning, numpy.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.",bsc computer science data analysis system design problem solving docker machine learning numpy communication teamwork adaptability team collaboration git 2 msc information technology graduate 9 years experience skilled data analysis system design problem solving docker machine learning numpy contributed open source community initiatives passionate learning emerging technologies improving system efficiency
Data Scientist,Diploma in Software Development,"machine learning, numpy, team collaboration, problem solving, system design, project management","communication, teamwork, adaptability","linux, git",11,"Diploma in Software Development graduate with 3 years of experience.
        Skilled in machine learning, numpy, team collaboration, problem solving, system design, project management.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.","Diploma in Software Development machine learning, numpy, team collaboration, problem solving, system design, project management communication, teamwork, adaptability linux, git 11 Diploma in Software Development graduate with 3 years of experience.
        Skilled in machine learning, numpy, team collaboration, problem solving, system design, project management.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.",diploma software development machine learning numpy team collaboration problem solving system design project management communication teamwork adaptability linux git 11 diploma software development graduate 3 years experience skilled machine learning numpy team collaboration problem solving system design project management contributed open source community initiatives passionate learning emerging technologies improving system efficiency
Data Scientist,MSc in Information Technology,"machine learning, linux, git, statistics, problem solving, routing protocols, project management","communication, teamwork, adaptability","java, docker",7,"MSc in Information Technology graduate with 7 years of experience.
        Skilled in machine learning, linux, git, statistics, problem solving, routing protocols, project management.
        Completed internships in retail and IT support environments.
        Passionate about learning emerging technologies and improving system efficiency.","MSc in Information Technology machine learning, linux, git, statistics, problem solving, routing protocols, project management communication, teamwork, adaptability java, docker 7 MSc in Information Technology graduate with 7 years of experience.
        Skilled in machine learning, linux, git, statistics, problem solving, routing protocols, project management.
        Completed internships in retail and IT support environments.
        Passionate about learning emerging technologies and improving system efficiency.",msc information technology machine learning linux git statistics problem solving routing protocols project management communication teamwork adaptability java docker 7 msc information technology graduate 7 years experience skilled machine learning linux git statistics problem solving routing protocols project management completed internships retail support environments passionate learning emerging technologies improving system efficiency
Data Scientist,Diploma in Software Development,"docker, system design, machine learning, python, statistics, git","communication, teamwork, adaptability","team collaboration, data analysis",12,"Bachelor of Engineering graduate with 5 years of experience.
        Skilled in docker, system design, machine learning, python, statistics, git.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.","Diploma in Software Development docker, system design, machine learning, python, statistics, git communication, teamwork, adaptability team collaboration, data analysis 12 Bachelor of Engineering graduate with 5 years of experience.
        Skilled in docker, system design, machine learning, python, statistics, git.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.",diploma software development docker system design machine learning python statistics git communication teamwork adaptability team collaboration data analysis 12 bachelor engineering graduate 5 years experience skilled docker system design machine learning python statistics git contributed open source community initiatives passionate learning emerging technologies improving system efficiency
Data Scientist,BSc in Computer Science,"numpy, data visualization, linux, docker, problem solving, git","communication, teamwork, adaptability","docker, agile methodology",10,"Diploma in Software Development graduate with 3 years of experience.
        Skilled in numpy, data visualization, linux, docker, problem solving, git.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.","BSc in Computer Science numpy, data visualization, linux, docker, problem solving, git communication, teamwork, adaptability docker, agile methodology 10 Diploma in Software Development graduate with 3 years of experience.
        Skilled in numpy, data visualization, linux, docker, problem solving, git.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.",bsc computer science numpy data visualization linux docker problem solving git communication teamwork adaptability docker agile methodology 10 diploma software development graduate 3 years experience skilled numpy data visualization linux docker problem solving git experience client communication requirement gathering passionate learning emerging technologies improving system efficiency
Data Scientist,BSc in Computer Science,"pandas, sql, problem solving, ethical hacking, docker, data visualization, project management","communication, teamwork, adaptability","problem solving, python",12,"Bachelor of Engineering graduate with 7 years of experience.
        Skilled in pandas, sql, problem solving, ethical hacking, docker, data visualization, project management.
        Participated in cross-functional team projects.
        Passionate about learning emerging technologies and improving system efficiency.","BSc in Computer Science pandas, sql, problem solving, ethical hacking, docker, data visualization, project management communication, teamwork, adaptability problem solving, python 12 Bachelor of Engineering graduate with 7 years of experience.
        Skilled in pandas, sql, problem solving, ethical hacking, docker, data visualization, project management.
        Participated in cross-functional team projects.
        Passionate about learning emerging technologies and improving system efficiency.",bsc computer science pandas sql problem solving ethical hacking docker data visualization project management communication teamwork adaptability problem solving python 12 bachelor engineering graduate 7 years experience skilled pandas sql problem solving ethical hacking docker data visualization project management participated crossfunctional team projects passionate learning emerging technologies improving system efficiency
